"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2025/03/02 15:48:49 JST","11961790603","注文","S03-4047517-2860658","Card Holder-Silver","[GEEEKART] 【2024新登場】 高級な超薄型金属カードケース - 防盗と防磁性RFID、自動弾出式アルミニウム名刺ケース (銀)","1","jp-shipment-injection.stores.amazon.co.jp","Amazon","","北海道","080-005","","0","0","0","0","0","0","0","0","0","0","0","-550","0","0","-550"
"2025/03/03 15:22:58 JST","11961790603","注文","S03-3875921-0511042","Card Holder-Black","[GEEEKART] 【2024新登場】 高級な超薄型金属カードケース - 防盗と防磁性RFID、自動弾出式アルミニウム名刺ケース","1","jp-shipment-injection.stores.amazon.co.jp","Amazon","","福岡県","816-084","","0","0","0","0","0","0","0","0","0","0","0","-550","0","0","-550"
"2025/03/03 20:23:27 JST","11961790603","注文外料金","","","月額登録料","","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-2,101","-2,101"
"2025/03/04 7:25:50 JST","11961790603","注文","S03-2195862-6924638","DY-KX48-PENC","GEEEKARTネックピロー フード付きネックピロー H型ネックピロー インフレータブル ポータブル ネックピロー エアー 旅行用 首枕 飛行機 子供 寝る グッズ 長距離ドライブ 便利グッズ 夜行バス 快適グッズ ネッククッション 車 ネックピロー エアー枕 海外旅行 飛行機 快適グッズ お昼寝/仮眠用 [並行輸入品]","1","jp-shipment-injection.stores.amazon.co.jp","Amazon","","大阪府","581-086","","0","0","0","0","0","0","0","0","0","0","0","-662","0","0","-662"
"2025/03/07 1:23:54 JST","11961790603","FBA 在庫関連の手数料","","","FBA在庫保管手数料:","","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-3,605","-3,605"
"2025/03/07 23:22:32 JST","11961790603","注文","503-5636370-1701404","Card Holder-Black","[GEEEKART] 【2024新登場】 高級な超薄型金属カードケース - 防盗と防磁性RFID、自動弾出式アルミニウム名刺ケース","1","amazon.jp","Amazon","","愛知県","458-081","","1,091","109","0","0","0","0","-12","0","0","0","-143","0","0","0","1,045"
"2025/03/08 8:22:14 JST","11961790603","注文","249-9908694-6756605","DY-KX48-PENC","GEEEKARTネックピロー フード付きネックピロー H型ネックピロー インフレータブル ポータブル ネックピロー エア","1","amazon.jp","Amazon","","長野県","399-710","","1,536","154","0","0","0","0","-17","0","0","0","-251","-465","0","0","957"
"2025/03/08 11:12:12 JST","11961790603","注文","503-5764402-5906222","DY-KX48-PENC","GEEEKARTネックピロー フード付きネックピロー H型ネックピロー インフレータブル ポータブル ネックピロー エア","1","amazon.jp","Amazon","","栃木県","320-083","","1,536","154","0","0","0","0","-17","0","0","0","-251","-465","0","0","957"
"2025/03/08 18:11:02 JST","11961790603","注文","S03-0411648-3894244","7E-T57N-0KMT","【2024年最新】スマホ冷却ファン 磁気式/クリップ式 スマホクーラー ペルチェ素子 3段階風力調節 LED温度表示 USB給電 静音 小型 軽量 RGBライト 強力冷却スマホクーラー iPhone/Android/GEEEKART対応 ゲーム/ライブ配信/撮影/動画視聴/テレワーク対応 黒色","1","jp-shipment-injection.stores.amazon.co.jp","Amazon","","埼玉県","367-004","","0","0","0","0","0","0","0","0","0","0","0","-615","0","0","-615"
"2025/03/08 22:01:04 JST","11961790603","注文","249-0428288-3247026","DY-KX48-PENC","GEEEKARTネックピロー フード付きネックピロー H型ネックピロー インフレータブル ポータブル ネックピロー エア","1","amazon.jp","Amazon","","兵庫県","651-210","","1,536","154","0","0","0","0","-17","0","0","0","-251","-465","0","0","957"
