"Comprend les transactions Amazon Marketplace, Expédié par Amazon et Boutique en ligne Amazon"
"Tous les montants sont en EUR, sauf indication contraire"
"Définitions :"
"Taxes de ventes prélevées : Inclut les taxes de vente prélevées auprès des acheteurs pour les ventes de produits, l’expédition et les emballages-cadeaux."
"Frais de vente : Comprend les frais de clôture estimés et les frais de vente."
"Autres frais de transaction : Comprend les rétrofacturations de l’expédition, les retenues sur l’expédition, les frais par article et les frais de recouvrement des taxes de vente."
"Autres : Inclut les montants des transactions non liées à une commande. Pour plus d’informations, consultez les colonnes « Type » et « Description » pour chaque numéro de commande."
"date/heure","Identifiant du paiement","type","Numéro de la commande","SKU","description","quantité","site de vente","expédition","ville de la commande","état de la commande","commande postale","ventes de produits","crédits d’expédition","crédits d’emballage-cadeau","Total des réductions","taxe de ventes prélevée","Taxe Marketplace Facilitator","frais de vente","Frais pour le service Expédié par Amazon","autres frais de transaction","autres","total"
"4 mars 2025 20:21:43 UTC","24314648102","Transférer","","","Au compte se terminant par : 332","","","","","","","0","0","0","0","0","0","0","0","0","-46,55","-46,55"
"5 mars 2025 20:57:51 UTC","24314648102","Commande","404-7342314-6195530","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Waremme","","4300","13,58","1,02","0","-1,02","2,85","-2,85","-2,46","-8,74","0","0","2,38"
"6 mars 2025 00:01:24 UTC","24314648102","Commande","403-7916053-0917937","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Lens-Saint-Remy","","4280","12,90","0","0","0","2,71","-2,71","-2,34","-8,74","0","0","1,82"
"6 mars 2025 23:15:11 UTC","24314648102","Commande","407-5157104-3949928","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Overijse","","3090","13,58","0,29","0","-0,29","2,85","-2,85","-2,46","-8,74","0","0","2,38"
"7 mars 2025 19:54:02 UTC","24314648102","Commande","408-0188949-2083530","LZ-1BCI-EQUM","Kit de moulage et de revêtement en résine époxy transparente pour art, bijoux, bricolage, artisanat selon un rapport 1:1 avec tasses à mesurer en","1","amazon.com.be","Amazon","Aalst -Baardegem","Oost-Vlaanderen","9310","24,33","2,06","0","-2,06","5,11","-5,11","-4,42","-4,61","0","0","15,30"
"7 mars 2025 21:45:20 UTC","24314648102","Commande","405-7614576-6057152","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Oostende","","8400","12,90","2,06","0","-2,06","2,71","-2,71","-2,34","-4,14","0","0","6,42"
"7 mars 2025 22:15:39 UTC","24314648102","Commande","402-6538311-7299501","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Mechelen","","2800","12,90","0","0","0","2,71","-2,71","-2,34","-4,14","0","0","6,42"
"7 mars 2025 22:53:54 UTC","24314648102","Commande","171-7957624-8264321","EPR-EU1G","EPRESINART Resine Epoxy,3785ml 1:1 Résine époxy et Durcisseur transparente pour Bois, l'artisanat et l'art, Tables de Rivière, Fabrication de Bijou","1","amazon.com.be","Amazon","Bruxelles","","1080","54,54","2,06","0","-2,06","11,45","-11,45","-9,90","-6,54","0","0","38,10"
"8 mars 2025 15:39:24 UTC","24314648102","Commande","405-8317816-1154764","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Habay-la-vieille","Habay","6723","12,90","0","0","0","2,71","-2,71","-2,34","-4,14","0","0","6,42"
"8 mars 2025 17:27:43 UTC","24314648102","Commande","171-5455604-9163550","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Lambermont","Verviers","4800","12,90","0","0","0","2,71","-2,71","-2,34","-8,74","0","0","1,82"
"11 mars 2025 22:48:34 UTC","24314648102","Commande","403-8905013-6009950","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Neufvilles","","7063","12,90","0","0","0","2,71","-2,71","-2,34","-8,74","0","0","1,82"
"11 mars 2025 23:07:14 UTC","24314648102","Commande","406-4354479-3044337","9W-G2D2-1J3T","BUTIRESIN Ensemble de résine époxy, 32oz/948ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","GROSAGE","","7950","30,66","0","0","0","0","0","-9,20","-9,59","0","0","11,87"
"11 mars 2025 23:07:14 UTC","24314648102","Commande","406-4354479-3044337","9W-G2D2-1J3T","BUTIRESIN Ensemble de résine époxy, 32oz/948ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","GROSAGE","","7950","30,66","0","0","0","0","0","0","-9,59","0","0","21,07"
