"Incluye transacciones del Marketplace de Amazon, Logística de Amazon y Amazon Webstore"
"Todos los importes en EUR, a menos que se especifique lo contrario"
"Definiciones:"
"Recaudación de impuestos sobre ventas: incluye los impuestos sobre ventas recaudados al comprador respecto al producto, el envío y el envoltorio para regalo."
"Tarifas por venta: incluyen tarifas variables por cierre de venta y tarifas por referencia."
"Tarifas de otras transacciones: incluye reintegros de los cargos por envío, retenciones de envío y tarifas de impuestos sobre ventas."
"Otro: incluye importes de transacciones distintas del pedido. Para mas información, consulta las columnas ""Tipo"" y ""Descripción"" de cada número de pedido."
"fecha y hora","identificador de pago","tipo","número de pedido","sku","descripción","cantidad","web de Amazon","gestión logística","ciudad de procedencia del pedido","comunidad autónoma de procedencia del pedido","código postal de procedencia del pedido","Formulario de recaudación de impuestos","ventas de productos","impuesto de ventas de productos","abonos de envío","impuestos por abonos de envío","abonos de envoltorio para regalo","impuestos por abonos de envoltorio para regalo","devoluciones promocionales","impuestos de descuentos por promociones","impuesto retenido en el sitio web","tarifas de venta","tarifas de Logística de Amazon","tarifas de otras transacciones","otro","total"
"1 mar 2025 20:18:57 UTC","24361811492","Pedido","405-5656336-7894714","UV-002","Resina UV de 500 g, resina UV clara, resina UV dura, transparente y transparente UV de secado rápido, resina epoxi UV para fabricación de joyas, man","1","amazon.es","Amazon","Pinto","Madrid","28320","MarketplaceFacilitator","19,83","4,16","0","0","0","0","0","0","-4,16","-3,12","-3,95","-0,06","0","12,70"
"1 mar 2025 20:30:24 UTC","24361811492","Pedido","402-6310358-9761112","UV-002","Resina UV de 500 g, resina UV clara, resina UV dura, transparente y transparente UV de secado rápido, resina epoxi UV para fabricación de joyas, man","1","amazon.es","Amazon","Sant Miquel d'Olerdola","Barcelona","08734","MarketplaceFacilitator","19,83","4,16","0","0","0","0","0","0","-4,16","-3,12","-3,95","-0,06","0","12,70"
"1 mar 2025 22:03:10 UTC","24361811492","Pedido","405-3977598-1609900","LZ-1BCI-EQUM","EPRESINART Resina Epoxi, 36oz/1064ml 1:1 Epoxy Resina No TóxicaTransparente Kit para Madera, Creaciones Artísticas, Restauración, Azulejos de Pared","1","amazon.es","Amazon","Palma","Illes Balears","07008","MarketplaceFacilitator","21,19","4,45","0","0","0","0","0","0","-4,45","-3,33","-9,38","-0,07","0","8,41"
"2 mar 2025 4:42:29 UTC","24361811492","Tarifa de prestación de servicio","","","Gastos de publicidad","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-34,59","0","-34,59"
"3 mar 2025 3:54:34 UTC","24361811492","Ajuste","","EPR-EU1G","Reembolso de inventario - extraviado en el almacén","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","45,90","45,90"
"3 mar 2025 20:29:11 UTC","24375457842","Pedido","408-8915104-7175539","UV-002","Resina UV de 500 g, resina UV clara, resina UV dura, transparente y transparente UV de secado rápido, resina epoxi UV para fabricación de joyas, man","1","amazon.es","Amazon","Tudela","Navarra","31500","MarketplaceFacilitator","19,83","4,16","4,12","0,87","0","0","0","0","-5,03","-3,12","-8,07","-0,06","0","12,70"
"4 mar 2025 0:22:19 UTC","24375457842","Transferir","","","A la cuenta acabada en 332","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-45,12","-45,12"
"4 mar 2025 17:36:53 UTC","24375457842","Pedido","403-5386904-2606746","UV-002","Resina UV de 500 g, resina UV clara, resina UV dura, transparente y transparente UV de secado rápido, resina epoxi UV para fabricación de joyas, man","1","amazon.es","Amazon","Orihuela","Alicante","03311","MarketplaceFacilitator","19,83","4,16","0","0","0","0","0","0","-4,16","-3,12","-3,95","-0,06","0","12,70"
"4 mar 2025 23:16:05 UTC","24375457842","Pedido","404-4797043-7915502","EPR-EU1G","EPRESINART Resina Epoxi, 3785ml Resina Epoxi No Tóxica, 1:1 Epoxy Resina Transparente Kit para Madera, Creaciones Artísticas, Restauración, Azulejo","1","amazon.es","Amazon","Crevillent","Alicante","03330","MarketplaceFacilitator","50,24","10,55","0","0","0","0","0","0","-10,55","-7,90","-7,02","-0,16","0","35,16"
"4 mar 2025 23:24:41 UTC","24375457842","Pedido","402-2694007-7889110","L7-UJO5-2Z9P","BUTIRESIN Juego de Resina Epoxi, 16z/474ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento a","1","amazon.es","Amazon","Alcantarilla","Murcia","30820","MarketplaceFacilitator","12,51","2,63","0","0","0","0","-2,50","-0,53","-2,10","-1,82","-4,05","-0,04","0","4,10"
"5 mar 2025 21:58:31 UTC","24390394242","Pedido","403-5043867-5401125","L7-UJO5-2Z9P","BUTIRESIN Juego de Resina Epoxi, 16z/474ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento a","1","amazon.es","Amazon","El Prat de Llobregat","Barcelona","08820","MarketplaceFacilitator","12,51","2,63","0","0","0","0","-2,50","-0,53","-2,10","-1,82","-4,05","-0,04","0","4,10"
"5 mar 2025 22:42:29 UTC","24390394242","Transferir","","","A la cuenta acabada en 332","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-64,66","-64,66"
