"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2025/03/02 6:04:30 JST","11959469833","注文","503-3098683-1848658","UV-1111","EPRESINART UVレジン液 200g UV/LED対応 レジン 高い透明 詰替用 大容量 ハードタイプ DIY手作り装飾 急速に硬化 低アレ","1","amazon.jp","Amazon","","茨城県","311-343","","1,364","136","0","0","0","0","-15","0","0","0","-223","-318","0","0","944"
"2025/03/04 17:57:43 JST","11959469833","注文","S03-6691376-9159836","UV-1111","EPRESINART UVレジン液 200g UV/LED対応 レジン 高い透明 詰替用 大容量 ハードタイプ DIY手作り装飾 急速に硬化 低アレルギー性 uv resin","1","jp-shipment-injection.stores.amazon.co.jp","Amazon","","東京都","191-004","","0","0","0","0","0","0","0","0","0","0","0","-570","0","0","-570"
"2025/03/07 0:48:18 JST","11959469833","FBA 在庫関連の手数料","","","FBA在庫保管手数料:","","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-630","-630"
"2025/03/07 0:59:28 JST","11959469833","注文","503-6342638-1555849","UV-1111","EPRESINART UVレジン液 200g UV/LED対応 レジン 高い透明 詰替用 大容量 ハードタイプ DIY手作り装飾 急速に硬化 低アレ","1","amazon.jp","Amazon","","福岡県","800-004","","845","85","0","0","0","0","-9","0","0","0","-138","-252","0","0","531"
"2025/03/07 20:12:00 JST","11959469833","注文","250-7707577-4063011","UV-1111","EPRESINART UVレジン液 200g UV/LED対応 レジン 高い透明 詰替用 大容量 ハードタイプ DIY手作り装飾 急速に硬化 低アレ","1","amazon.jp","Amazon","","群馬県","371-005","","845","85","0","0","0","0","-9","0","0","0","-138","-252","0","0","531"
"2025/03/07 23:57:31 JST","11959469833","注文","503-0541488-2664632","UV-1111","EPRESINART UVレジン液 200g UV/LED対応 レジン 高い透明 詰替用 大容量 ハードタイプ DIY手作り装飾 急速に硬化 低アレ","1","amazon.jp","Amazon","","東京都","190-120","","845","85","0","0","0","0","-9","0","0","0","-138","-252","0","0","531"
"2025/03/08 0:33:08 JST","11959469833","注文","249-1374322-7944640","UV-1111","EPRESINART UVレジン液 200g UV/LED対応 レジン 高い透明 詰替用 大容量 ハードタイプ DIY手作り装飾 急速に硬化 低アレ","1","amazon.jp","Amazon","","北海道","059-130","","845","85","0","0","0","0","-9","0","0","0","-138","-252","0","0","531"
"2025/03/08 2:09:57 JST","11959469833","注文","S03-5186549-5132659","UV-1111","EPRESINART UVレジン液 200g UV/LED対応 レジン 高い透明 詰替用 大容量 ハードタイプ DIY手作り装飾 急速に硬化 低アレルギー性 uv resin","7","jp-shipment-injection.stores.amazon.co.jp","Amazon","","福島県","960-048","","0","0","0","0","0","0","0","0","0","0","0","-3,150","0","0","-3,150"
"2025/03/08 5:38:34 JST","11959469833","返金","249-1374322-7944640","UV-1111","EPRESINART UVレジン液 200g UV/LED対応 レジン 高い透明 詰替用 大容量 ハードタイプ DIY手作り装飾 急速に硬化 低アレ","1","amazon.jp","Amazon","","北海道","059-130","","-845","-85","0","0","0","0","9","0","0","0","124","0","0","0","-797"
"2025/03/08 9:16:08 JST","11959469833","注文","503-7524052-1471830","UV-1111","EPRESINART UVレジン液 200g UV/LED対応 レジン 高い透明 詰替用 大容量 ハードタイプ DIY手作り装飾 急速に硬化 低アレ","1","amazon.jp","Amazon","","神奈川県","213-002","","845","85","0","0","0","0","-9","0","0","0","-138","-252","0","0","531"
"2025/03/08 17:27:57 JST","11959469833","注文","S03-9045310-3631043","UV-1111","EPRESINART UVレジン液 200g UV/LED対応 レジン 高い透明 詰替用 大容量 ハードタイプ DIY手作り装飾 急速に硬化 低アレルギー性 uv resin","5","jp-shipment-injection.stores.amazon.co.jp","Amazon","","埼玉県","352-000","","0","0","0","0","0","0","0","0","0","0","0","-2,250","0","0","-2,250"
"2025/03/09 19:34:47 JST","11959469833","注文","250-4864407-9082247","UV-1111","EPRESINART UVレジン液 200g UV/LED対応 レジン 高い透明 詰替用 大容量 ハードタイプ DIY手作り装飾 急速に硬化 低アレ","1","amazon.jp","Amazon","","富山県","930-016","","845","85","105","10","0","0","-9","-105","-10","0","-138","-252","0","0","531"
"2025/03/09 20:30:48 JST","11959469833","注文","250-3586774-8538240","UV-1111","EPRESINART UVレジン液 200g UV/LED対応 レジン 高い透明 詰替用 大容量 ハードタイプ DIY手作り装飾 急速に硬化 低アレ","1","amazon.jp","Amazon","","神奈川県","252-013","","845","85","0","0","0","0","-9","0","0","0","-138","-252","0","0","531"
"2025/03/10 1:44:00 JST","11959469833","注文","503-7143376-4691047","UV-1111","EPRESINART UVレジン液 200g UV/LED対応 レジン 高い透明 詰替用 大容量 ハードタイプ DIY手作り装飾 急速に硬化 低アレ","1","amazon.jp","Amazon","","鳥取県","680-125","","845","85","0","0","0","0","-9","0","0","0","-138","-252","0","0","531"
