"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"01.03.2025 16:09:59 UTC","24347707382","Bestellung","306-7284373-8348356","9W-G2D2-1J3T","BUTIRESIN Epoxidharz Set, 32oz/948ml, Transparent, Ungiftig, 1: 1-Verhältnis; Lebensmittelecht Und Geruchsarm, Blasenfrei,Beschichten, Kunst","1","amazon.de","Amazon","Kirch Jesar","","19230","MarketplaceFacilitator","19,74","3,75","0","0","0","0","-3,95","-0,75","-3,00","-2,44","-4,13","0","0","9,22"
"01.03.2025 20:55:51 UTC","24347707382","Bestellung","304-5476709-1930709","L8-JVRH-OZ94","EPRESINART Epoxidharz, 36oz/1064ml 1:1 Ratio, Ungiftiges, klares Epoxidharz Holz Kit, Kunstgestaltung, Restaurierung, Wandfliesen, Bodenbeläge","1","amazon.de","Amazon","Lossatal/OT Körlitz","Sachsen","04808","MarketplaceFacilitator","23,94","4,55","0","0","0","0","0","0","-4,55","-3,70","-4,13","0","0","16,11"
"01.03.2025 22:33:03 UTC","24347707382","Bestellung","302-2498906-3340344","L8-JVRH-OZ94","EPRESINART Epoxidharz, 36oz/1064ml 1:1 Ratio, Ungiftiges, klares Epoxidharz Holz Kit, Kunstgestaltung, Restaurierung, Wandfliesen, Bodenbeläge","1","amazon.de","Amazon","Aichach","Bayern","86551","MarketplaceFacilitator","23,94","4,55","0","0","0","0","0","0","-4,55","-3,70","-4,13","0","0","16,11"
"01.03.2025 23:16:48 UTC","24347707382","Bestellung","303-1886005-2701953","L8-JVRH-OZ94","EPRESINART Epoxidharz, 36oz/1064ml 1:1 Ratio, Ungiftiges, klares Epoxidharz Holz Kit, Kunstgestaltung, Restaurierung, Wandfliesen, Bodenbeläge","1","amazon.de","Amazon","Kamen","","59174","MarketplaceFacilitator","23,94","4,55","3,35","0,64","0","0","0","0","-5,19","-3,70","-7,37","0","0","16,22"
"01.03.2025 23:44:33 UTC","24347707382","Bestellung","304-8831418-0688364","9W-G2D2-1J3T","BUTIRESIN Epoxidharz Set, 32oz/948ml, Transparent, Ungiftig, 1: 1-Verhältnis; Lebensmittelecht Und Geruchsarm, Blasenfrei,Beschichten, Kunst","1","amazon.de","Amazon","Mülheim an der Ruhr","Nordrhein-Westfalen","45470","MarketplaceFacilitator","19,74","3,75","0","0","0","0","-3,95","-0,75","-3,00","-2,44","-4,13","0","0","9,22"
"02.03.2025 04:19:59 UTC","24347707382","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-134,00","0","-134,00"
"02.03.2025 23:56:32 UTC","24347707382","Erstattung","305-1723486-6417910","L7-UJO5-2Z9P","BUTIRESIN Epoxidharz Set, 16oz/474ml, transparent, ungiftig, 1: 1-Verhältnis; einfach zu mischendes Harz, Lebensmittelecht und geruchsarm, blasenfrei","1","amazon.de","Amazon","Krefeld","","47839","MarketplaceFacilitator","-12,76","-2,43","0","0","0","0","1,92","0,36","2,07","1,34","0","0","0","-9,50"
"03.03.2025 04:53:27 UTC","24347707382","Bestellung","303-6204872-4317108","9W-G2D2-1J3T","BUTIRESIN Epoxidharz Set, 32oz/948ml, Transparent, Ungiftig, 1: 1-Verhältnis; Lebensmittelecht Und Geruchsarm, Blasenfrei,Beschichten, Kunst","1","amazon.de","Amazon","Krostitz","","04509","MarketplaceFacilitator","23,94","4,55","0","0","0","0","-4,79","-0,91","-3,64","-2,96","-4,13","0","0","12,06"
"03.03.2025 20:34:32 UTC","24347707382","Bestellung","305-4749977-5645912","L7-UJO5-2Z9P","BUTIRESIN Epoxidharz Set, 16oz/474ml, transparent, ungiftig, 1: 1-Verhältnis; einfach zu mischendes Harz, Lebensmittelecht und geruchsarm, blasenfrei","1","amazon.de","Amazon","Osnabrück","","49082","MarketplaceFacilitator","12,76","2,43","0","0","0","0","-1,92","-0,36","-2,07","-1,68","-3,51","0","0","5,65"
"03.03.2025 21:48:44 UTC","24347707382","Bestellung","303-9390378-3845903","L8-JVRH-OZ94","EPRESINART Epoxidharz, 36oz/1064ml 1:1 Ratio, Ungiftiges, klares Epoxidharz Holz Kit, Kunstgestaltung, Restaurierung, Wandfliesen, Bodenbeläge","1","amazon.de","Amazon","Maria Anzbach","","3034","MarketplaceFacilitator","23,94","4,79","0","0","0","0","0","0","-4,79","-3,70","-4,13","0","0","16,11"
"03.03.2025 23:53:31 UTC","24347707382","Bestellung","302-6931791-6173913","L7-UJO5-2Z9P","BUTIRESIN Epoxidharz Set, 16oz/474ml, transparent, ungiftig, 1: 1-Verhältnis; einfach zu mischendes Harz, Lebensmittelecht und geruchsarm, blasenfrei","1","amazon.de","Amazon","Cluj Napoca","Cluj","","MarketplaceFacilitator","10,24","1,95","2,45","0,46","0","0","-3,99","-0,75","-1,66","-1,35","-3,51","0","0","3,84"
"04.03.2025 16:46:52 UTC","24347707382","Erstattung","305-9622375-4757137","L8-JVRH-OZ94","EPRESINART Epoxidharz, 36oz/1064ml 1:1 Ratio, Ungiftiges, klares Epoxidharz Holz Kit, Kunstgestaltung, Restaurierung, Wandfliesen, Bodenbeläge","1","amazon.de","Amazon","Stuttgart","Baden Württemberg","70565","MarketplaceFacilitator","-23,94","-4,55","0","0","0","0","0","0","4,55","2,96","0","0","0","-20,98"
"04.03.2025 20:44:24 UTC","24347707382","Bestellung","306-9928902-1753162","L8-JVRH-OZ94","EPRESINART Epoxidharz, 36oz/1064ml 1:1 Ratio, Ungiftiges, klares Epoxidharz Holz Kit, Kunstgestaltung, Restaurierung, Wandfliesen, Bodenbeläge","1","amazon.de","Amazon","Berlin","","10969","MarketplaceFacilitator","23,94","4,55","0","0","0","0","0","0","-4,55","-3,70","-4,13","0","0","16,11"
"04.03.2025 21:06:12 UTC","24347707382","Bestellung","028-6520540-3085114","9W-G2D2-1J3T","BUTIRESIN Epoxidharz Set, 32oz/948ml, Transparent, Ungiftig, 1: 1-Verhältnis; Lebensmittelecht Und Geruchsarm, Blasenfrei,Beschichten, Kunst","1","amazon.de","Amazon","Logatec","","","MarketplaceFacilitator","19,74","4,34","3,41","0,75","0","0","-7,36","-1,62","-3,47","-2,50","-4,13","0","0","9,16"
