"Include transazioni relative sia a Vendita su Amazon sia Logistica di Amazon."
"Tutti gli importi sono espressi in EUR, se non diversamente specificato."
"Definizioni:"
"Imposta sulle vendite riscossa: include l'imposta sulle vendite riscossa dagli acquirenti per la vendita, la spedizione e la confezione regalo dei prodotti."
"Commissioni di vendita: Include commissioni variabili di chiusura e concessioni di procacciamento d'affari"
"Altri costi relativi alle transazioni: includono costi di chargeback per la spedizione e trattenute sulla spedizione."
"Altro: include l'importo delle transazioni non relative all'ordine. Per maggiori informazioni, consulta le colonne ""Tipo"" e ""Descrizione"" per ogni numero d'ordine."
"Data/Ora:","Numero pagamento","Tipo","Numero ordine","SKU","Descrizione","Quantità","Marketplace","Gestione","Città di provenienza dell'ordine","Provincia di provenienza dell'ordine","CAP dell'ordine","modello di riscossione delle imposte","Vendite","imposta sulle vendite dei prodotti","Accrediti per le spedizioni","imposta accrediti per le spedizioni","Accrediti per confezioni regalo","imposta sui crediti confezione regalo","Sconti promozionali","imposta sugli sconti promozionali","trattenuta IVA del marketplace","Commissioni di vendita","Costi del servizio Logistica di Amazon","Altri costi relativi alle transazioni","Altro","totale"
"1 mar 2025 00:02:09 UTC","24333203662","Ordine","171-3464941-8418747","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Prato","PO","59100","MarketplaceFacilitator","12,45","2,74","0","0","0","0","-2,49","-0,55","-2,19","-1,82","-5,05","-0,04","0","3,05"
"1 mar 2025 00:04:27 UTC","24333203662","Ordine","403-5006239-9093933","EPR-EU1G","EPRESINART Resina Epossidica Trasparente Kit Principianti,3785ml 1:1 Resina Epoxy con Indurente per Creazi,Fai da Te, Legno, Decorazioni","1","amazon.it","Amazon","Serra de' conti","Ancona","60030","MarketplaceFacilitator","51,39","11,30","0","0","0","0","0","0","-11,30","-8,15","-7,25","-0,16","0","35,83"
"2 mar 2025 00:06:32 UTC","24333203662","Ordine","404-2412658-7670715","9W-G2D2-1J3T","BUTIRESIN Ensemble de résine époxy, 32oz/948ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Torino","Torino","10136","MarketplaceFacilitator","20,11","4,43","0","0","0","0","-4,02","-0,89","-3,54","-2,94","-9,38","-0,06","0","3,71"
"2 mar 2025 04:43:47 UTC","24333203662","Commissione di servizio","","","Costo della pubblicità","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-92,35","0","-92,35"
"3 mar 2025 20:47:33 UTC","24333203662","Ordine","403-8009265-2884355","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","san giuseppe di comacchio","ferrara","44020","MarketplaceFacilitator","12,45","2,74","0","0","0","0","-2,49","-0,55","-2,19","-1,82","-5,05","-0,04","0","3,05"
"4 mar 2025 08:02:59 UTC","24333203662","Ordine","406-6876095-4933961","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Milano","Milano","20132","MarketplaceFacilitator","12,45","2,74","0","0","0","0","-2,49","-0,55","-2,19","-1,82","-5,05","-0,04","0","3,05"
"4 mar 2025 14:07:45 UTC","24333203662","Ordine","405-4968729-0926723","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Orte","Viterbo","01028","MarketplaceFacilitator","12,45","2,74","2,04","0,45","0","0","-2,49","-0,55","-2,64","-1,82","-7,09","-0,04","0","3,05"
"4 mar 2025 21:41:40 UTC","24333203662","Ordine","403-3818476-9856309","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Portogruaro","VE","30026","MarketplaceFacilitator","12,45","2,74","0","0","0","0","-2,49","-0,55","-2,19","-1,82","-5,05","-0,04","0","3,05"
"4 mar 2025 23:35:39 UTC","24333203662","Ordine","171-8437286-1657132","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","bergamo","bg","24127","MarketplaceFacilitator","12,45","2,74","0","0","0","0","-2,49","-0,55","-2,19","-1,82","-5,05","-0,04","0","3,05"
"5 mar 2025 16:06:32 UTC","24333203662","Ordine","403-9518702-0682758","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Baronissi","Salerno","84081","MarketplaceFacilitator","12,45","2,74","0","0","0","0","-2,49","-0,55","-2,19","-1,82","-5,05","-0,04","0","3,05"
"5 mar 2025 16:58:14 UTC","24333203662","Ordine","407-4375166-7611551","LZ-1BCI-EQUM","EPRESINART Set di resine epossidiche, 36oz/1064ml Resina epossidica non tossica, chiaro set di resine da colata, resina epossidica in rapporto 1:1 per","1","amazon.it","Amazon","Camporotondo Etneo","Catania","95040","MarketplaceFacilitator","22,12","4,87","0","0","0","0","0","0","-4,87","-3,51","-9,38","-0,07","0","9,16"
"5 mar 2025 22:22:56 UTC","24333203662","Ordine","404-3493034-2800307","L8-JVRH-OZ94","EPRESINART Set di resine epossidiche, 36oz/1064ml Resina epossidica non tossica, chiaro set di resine da colata, resina epossidica in rapporto 1:1 per","1","amazon.it","Amazon","garbagna novarese","Novara","28070","MarketplaceFacilitator","20,24","4,45","3,27","0,72","0","0","0","0","-5,17","-3,21","-12,62","-0,06","0","7,62"
"5 mar 2025 23:13:58 UTC","24333203662","Ordine","408-5484614-6859560","L8-JVRH-OZ94","EPRESINART Set di resine epossidiche, 36oz/1064ml Resina epossidica non tossica, chiaro set di resine da colata, resina epossidica in rapporto 1:1 per","1","amazon.it","Amazon","Trieste","TS","34143","MarketplaceFacilitator","20,24","4,45","0","0","0","0","0","0","-4,45","-3,21","-9,38","-0,06","0","7,59"
"5 mar 2025 23:14:26 UTC","24333203662","Ordine","403-1567565-5491558","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Sant' Albino","Siena","53045","MarketplaceFacilitator","12,45","2,74","0","0","0","0","-2,49","-0,55","-2,19","-1,82","-5,05","-0,04","0","3,05"
"6 mar 2025 21:35:03 UTC","24333203662","Ordine","171-0529286-2119566","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Bologna","Bo","40128","MarketplaceFacilitator","12,45","2,74","0","0","0","0","-2,49","-0,55","-2,19","-1,82","-5,05","-0,04","0","3,05"
"6 mar 2025 21:50:13 UTC","24333203662","Ordine","402-5683524-5457145","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Bari Santo spirito","Bari","70127","MarketplaceFacilitator","12,45","2,74","0","0","0","0","-2,49","-0,55","-2,19","-1,82","-5,05","-0,04","0","3,05"
"6 mar 2025 22:08:38 UTC","24333203662","Ordine","405-4550146-8295501","L8-JVRH-OZ94","EPRESINART Set di resine epossidiche, 36oz/1064ml Resina epossidica non tossica, chiaro set di resine da colata, resina epossidica in rapporto 1:1 per","1","amazon.it","Amazon","ostuni","Brindisi","72017","MarketplaceFacilitator","20,24","4,45","0,66","0,14","0","0","-0,66","-0,14","-4,45","-3,21","-9,38","-0,06","0","7,59"
"6 mar 2025 22:23:46 UTC","24333203662","Ordine","171-6094994-8345946","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Campagna","Salerno","84022","MarketplaceFacilitator","12,45","2,74","0","0","0","0","-2,49","-0,55","-2,19","-1,82","-5,05","-0,04","0","3,05"
"6 mar 2025 22:45:35 UTC","24333203662","Ordine","404-5359315-7080331","LZ-1BCI-EQUM","EPRESINART Set di resine epossidiche, 36oz/1064ml Resina epossidica non tossica, chiaro set di resine da colata, resina epossidica in rapporto 1:1 per","1","amazon.it","Amazon","VILLALBA","Roma","00012","MarketplaceFacilitator","22,12","4,87","0","0","0","0","0","0","-4,87","-3,51","-9,38","-0,07","0","9,16"
"6 mar 2025 23:08:27 UTC","24333203662","Ordine","404-0868110-2150754","LZ-1BCI-EQUM","EPRESINART Set di resine epossidiche, 36oz/1064ml Resina epossidica non tossica, chiaro set di resine da colata, resina epossidica in rapporto 1:1 per","1","amazon.it","Amazon","Sedico","Belluno","32036","MarketplaceFacilitator","22,12","4,87","0","0","0","0","0","0","-4,87","-3,51","-9,38","-0,07","0","9,16"
"6 mar 2025 23:12:55 UTC","24333203662","Ordine","407-6685900-9292369","LZ-1BCI-EQUM","EPRESINART Set di resine epossidiche, 36oz/1064ml Resina epossidica non tossica, chiaro set di resine da colata, resina epossidica in rapporto 1:1 per","1","amazon.it","Amazon","Colli al Metauro","Pesaro e Urbino","61036","MarketplaceFacilitator","22,12","4,87","0","0","0","0","0","0","-4,87","-3,51","-9,38","-0,07","0","9,16"
"7 mar 2025 03:10:22 UTC","24333203662","Costo di stoccaggio Logistica di Amazon","","","Tariffa di stoccaggio di Logistica di Amazon","","Amazon.it","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-27,58","-27,58"
