"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"28.02.2025 23:09:05 UTC","24364452482","Bestellung","304-2428894-9031563","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Kilkenny","Kilkenny","","MarketplaceFacilitator","9,59","2,21","3,73","0,86","0","0","0","0","-3,07","-1,48","-7,38","0","0","4,46"
"28.02.2025 23:26:05 UTC","24364452482","Bestellung","306-6375751-9738710","V7-RISD-G3FS","YOBTOP Epoxidharz Set, 948ml/32oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Au am Rhein","Baden-Württemberg","76474","MarketplaceFacilitator","14,78","2,81","0","0","0","0","-2,96","-0,56","-2,25","-1,83","-4,39","0","0","5,60"
"01.03.2025 12:36:51 UTC","24364452482","Bestellung","028-9749012-0149902","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Fischbachau","","83730","MarketplaceFacilitator","9,59","1,82","1,92","0,36","0","0","0","0","-2,18","-1,48","-5,44","0","0","4,59"
"01.03.2025 21:50:11 UTC","24364452482","Bestellung","028-5586389-6211541","V7-RISD-G3FS","YOBTOP Epoxidharz Set, 948ml/32oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Bad Erlach","","2822","MarketplaceFacilitator","14,78","2,96","0","0","0","0","-2,96","-0,59","-2,37","-1,84","-4,39","0","0","5,59"
"01.03.2025 22:37:43 UTC","24364452482","Bestellung","306-3602618-9152320","V7-RISD-G3FS","YOBTOP Epoxidharz Set, 948ml/32oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Berlin","","12689","MarketplaceFacilitator","14,78","2,81","0","0","0","0","-2,96","-0,56","-2,25","-1,83","-4,39","0","0","5,60"
"01.03.2025 22:42:16 UTC","24364452482","Bestellung","306-1874108-6205135","VA-DWTY-9F36","YOBTOP Epoxidharz Set, 2370ml/80oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuc","1","amazon.de","Amazon","Plön","Deutschland","24306","MarketplaceFacilitator","26,34","5,00","0","0","0","0","0","0","-5,00","-4,07","-5,77","0","0","16,50"
"01.03.2025 22:51:26 UTC","24364452482","Bestellung","305-3641930-5917132","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Schliengen","","79418","MarketplaceFacilitator","9,59","1,82","0","0","0","0","0","0","-1,82","-1,48","-3,52","0","0","4,59"
"01.03.2025 23:24:56 UTC","24364452482","Bestellung","306-7079093-6209111","V7-RISD-G3FS","YOBTOP Epoxidharz Set, 948ml/32oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Weilerbach","","67685","MarketplaceFacilitator","14,78","2,81","0","0","0","0","-2,96","-0,56","-2,25","-1,83","-4,39","0","0","5,60"
"01.03.2025 23:33:13 UTC","24364452482","Bestellung","028-3638311-7529969","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Hamburg","","22335","MarketplaceFacilitator","9,59","1,82","0","0","0","0","0","0","-1,82","-1,48","-3,52","0","0","4,59"
"01.03.2025 23:51:39 UTC","24364452482","Bestellung","305-0975508-0441167","V7-RISD-G3FS","YOBTOP Epoxidharz Set, 948ml/32oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Berlin","","12107","MarketplaceFacilitator","14,78","2,81","0","0","0","0","-2,96","-0,56","-2,25","-1,83","-4,39","0","0","5,60"
