"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2025/03/01 0:38:55 JST","11972502343","注文","249-8668795-4641453","GT-USMC-4DRX","YOBTOP UVレジン 300g UV-LED対応 レジン大容量 透明度が高く 硬化が速いレジン液 ハードタイプ DIY用 UVレジン液 イヤ","1","amazon.jp","Amazon","","愛知県","454-094","","1,800","180","0","0","0","0","-20","0","0","0","-294","-318","0","0","1,348"
"2025/03/01 1:23:03 JST","11972502343","注文","250-8554142-4063061","CP-WP0D-ZDP5","レジン用 UV ランプ、LED デジタル表示と時間設定","1","amazon.jp","Amazon","","岡山県","703-828","","2,363","236","0","0","0","0","0","-2,363","-236","0","-30","-318","0","0","-348"
"2025/03/01 2:25:40 JST","11972502343","注文","503-3919201-2465443","GT-USMC-4DRX","YOBTOP UVレジン 300g UV-LED対応 レジン大容量 透明度が高く 硬化が速いレジン液 ハードタイプ DIY用 UVレジン液 イヤ","1","amazon.jp","Amazon","","滋賀県","520-047","","1,800","180","0","0","0","0","-20","-180","-18","0","-264","-318","0","0","1,180"
"2025/03/01 2:48:49 JST","11972502343","注文","250-9499230-6374234","V3-QS5R-YQ1Z","YOBTOP レジン液 400g UVレジン液 大容量 高い透明 急速に硬化 非毒性 VOCなし 85D ハード 低粘度 詰替用 初心者 UVレ�","1","amazon.jp","Amazon","","愛知県","491-035","","1,635","164","0","0","0","0","-25","-164","-16","0","-159","-318","0","0","1,117"
"2025/03/01 4:19:27 JST","11972502343","注文外料金","40b0709c-8c20-4d19-a049-cd1997408f9a","","クーポン償還手数料: ¥500の割引 レジン液 2液性 32oz","1","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-60","0","-60"
"2025/03/01 4:28:16 JST","11972502343","注文外料金","b82c2183-63a6-4251-99df-bf54311d4c2a","","クーポン償還手数料: ¥400の割引 UVレジン 400g","1","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-60","0","-60"
"2025/03/01 4:29:35 JST","11972502343","注文","249-4067780-1336634","36-D294-3P6Z","YOBTOP【最新2025】UVライト 2in1 - 両面照射、360度光源・48W、長時間タイマー設定（60秒～600秒）、48個のLED搭載、デ","1","amazon.jp","Amazon","","徳島県","772-000","","6,345","635","0","0","0","0","-70","-909","-91","0","-591","-485","0","0","4,834"
"2025/03/01 4:38:24 JST","11972502343","注文外料金","a4575053-438f-4c1e-a02b-67e91ff3bb51","","クーポン償還手数料: ¥1000の割引 UVレジンランプ 48LEDs","2","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-120","0","-120"
"2025/03/01 4:48:52 JST","11972502343","注文","249-5319963-0691028","V3-QS5R-YQ1Z","YOBTOP レジン液 400g UVレジン液 大容量 高い透明 急速に硬化 非毒性 VOCなし 85D ハード 低粘度 詰替用 初心者 UVレ�","1","amazon.jp","Amazon","","福岡県","811-120","","2,255","225","0","0","0","0","-25","-364","-36","0","-206","-318","0","0","1,531"
"2025/03/01 4:55:53 JST","11972502343","注文","249-8966176-3502203","V3-QS5R-YQ1Z","YOBTOP レジン液 400g UVレジン液 大容量 高い透明 急速に硬化 非毒性 VOCなし 85D ハード 低粘度 詰替用 初心者 UVレ�","1","amazon.jp","Amazon","","沖縄県","905-040","","2,255","225","0","0","0","0","-25","-364","-36","0","-206","-318","0","0","1,531"
