"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"1 mars 2025 17:06:21 UTC","24361808432","Commande","171-9812199-7259565","EPR-EU1G","EPRESINART Resine Epoxy,3785ml 1:1 Résine époxy et Durcisseur transparente pour Bois, l'artisanat et l'art, Tables de Rivière, Fabrication de Bijou","1","amazon.fr","Amazon","Salins-les-Bains","","39110","MarketplaceFacilitator","55,41","11,08","0","0","0","0","-5,54","-1,11","-9,97","-7,78","-9,67","-0,35","0","32,07"
"1 mars 2025 21:19:11 UTC","24361808432","Commande","405-7878179-7191530","EPO-110116","EPRESINART Kit de résine époxy pour débutants, 532ml résine époxy non toxique, résine de moulage transparente, rapport 1:1, résine époxy pour","1","amazon.fr","Amazon","Portes les valence","","26800","MarketplaceFacilitator","15,82","3,17","0","0","0","0","0","0","-3,17","-2,47","-8,55","-0,22","0","4,58"
"1 mars 2025 21:36:29 UTC","24361808432","Commande","171-1311517-2106750","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","Ste Agathe D Aliermont","","76660","MarketplaceFacilitator","22,56","4,51","0","0","0","0","0","0","-9,02","-7,04","-5,97","-0,26","0","4,78"
"1 mars 2025 21:36:29 UTC","24361808432","Commande","171-1311517-2106750","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","Ste Agathe D Aliermont","","76660","","22,56","4,51","0","0","0","0","0","0","0","0","-5,97","-0,12","0","20,98"
"1 mars 2025 21:42:29 UTC","24361808432","Commande","403-2944716-3547518","EPO-110116","EPRESINART Kit de résine époxy pour débutants, 532ml résine époxy non toxique, résine de moulage transparente, rapport 1:1, résine époxy pour","1","amazon.fr","Amazon","Cormontreuil","","51350","MarketplaceFacilitator","15,82","3,17","0","0","0","0","0","0","-3,17","-2,47","-8,55","-0,22","0","4,58"
"1 mars 2025 22:06:13 UTC","24361808432","Commande","403-2995641-3449153","EPR-EU1G","EPRESINART Resine Epoxy,3785ml 1:1 Résine époxy et Durcisseur transparente pour Bois, l'artisanat et l'art, Tables de Rivière, Fabrication de Bijou","1","amazon.fr","Amazon","Juilles","","32200","MarketplaceFacilitator","55,41","11,08","0","0","0","0","0","0","-11,08","-8,64","-9,67","-0,36","0","36,74"
"1 mars 2025 22:27:41 UTC","24361808432","Commande","405-9765343-0919539","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","VUILLECIN","","25300","MarketplaceFacilitator","22,56","4,51","0,66","0,13","0","0","-0,66","-0,13","-4,51","-3,52","-5,97","-0,19","0","12,88"
"1 mars 2025 22:36:12 UTC","24361808432","Commande","408-1493781-1903530","EPR-EU1G","EPRESINART Resine Epoxy,3785ml 1:1 Résine époxy et Durcisseur transparente pour Bois, l'artisanat et l'art, Tables de Rivière, Fabrication de Bijou","1","amazon.fr","Amazon","Montpeyroux","","34150","MarketplaceFacilitator","55,41","11,08","0","0","0","0","0","0","-11,08","-8,64","-9,67","-0,36","0","36,74"
"1 mars 2025 22:43:08 UTC","24361808432","Commande","405-0030363-1921971","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","Barjouville","","28630","MarketplaceFacilitator","22,56","4,51","0","0","0","0","0","0","-4,51","-3,52","-5,97","-0,19","0","12,88"
"1 mars 2025 22:44:20 UTC","24361808432","Commande","406-8688971-9029124","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","La Fleche","","72200","MarketplaceFacilitator","22,56","4,51","0","0","0","0","0","0","-4,51","-3,52","-5,97","-0,19","0","12,88"
