"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2025/03/01 0:10:34 JST","11972516293","注文","250-7523127-2165445","6J-VGPE-Z83Y","BUTIRESIN レジン液 大容量 500g UVレジン液 速硬化 高い透明度 低臭 黄ばみ防止 気泡なし ハードタイプ UV/LED対応レ�","1","amazon.jp","Amazon","","神奈川県","234-005","","3,891","389","0","0","0","0","-43","0","0","0","-255","-455","0","0","3,527"
"2025/03/01 0:31:42 JST","11972516293","注文","250-8915128-9063001","KY-96VH-IIX0","BUTIRESIN UVライト アドバンス 2 in 1 両面長時間設定 (60 秒、180 秒、300 秒) 48 個の LED 48W 360 度サラウンド光源 樹脂�","1","amazon.jp","Amazon","","北海道","078-834","","7,255","725","0","0","0","0","-80","-1,364","-136","0","-384","-485","0","0","5,531"
"2025/03/01 0:39:35 JST","11972516293","注文","S03-7455688-2252640","KY-96VH-IIX0","BUTIRESIN UVライト アドバンス 2 in 1 両面長時間設定 (60 秒、180 秒、300 秒) 48 個の LED 48W 360 度サラウンド光源 樹脂硬化用大型 UV ランプ DIY クラフト装飾 ジュエリー作り 分割使用可能 デジタル表示タイマー(バイザーが付属しています)","1","jp-shipment-injection.stores.amazon.co.jp","Amazon","","埼玉県","344-003","","0","0","0","0","0","0","0","0","0","0","0","-688","0","0","-688"
"2025/03/01 1:23:26 JST","11972516293","注文","503-9550833-9770228","LQ-91ML-0JYO","BUTIRESIN レジン液 大容量 240g UVレジン液 速硬化 高い透明度 低臭 黄ばみ防止 気泡なし ハードタイプ UV/LED対応レ�","1","amazon.jp","Amazon","","神奈川県","252-013","","1,998","200","0","0","0","0","-22","0","0","0","-131","-318","0","0","1,727"
"2025/03/01 1:47:38 JST","11972516293","注文","503-3237695-8306202","UV-300g-JP-new","ButiResin レジン液 300g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","東京都","151-005","","2,255","225","0","0","0","0","-25","0","0","0","-270","-318","0","0","1,867"
"2025/03/01 1:59:29 JST","11972516293","注文","503-2273663-0493408","AB-0721","ButiResin エポキシ樹脂 二液性レジン液 大容量 1 gallon/4.3 kg エポキシレジン 2液性レジン液 ハードタイプ セルフレ","1","amazon.jp","Amazon","","東京都","162-006","","8,181","818","0","0","0","0","-90","0","0","0","-980","-514","0","0","7,415"
"2025/03/01 2:25:41 JST","11972516293","注文","503-0767823-8623036","UV-300g-JP-new","ButiResin レジン液 300g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","神奈川県","230-007","","2,255","225","0","0","0","0","-25","-455","-45","0","-215","-318","0","0","1,422"
"2025/03/01 2:39:13 JST","11972516293","注文","249-1918002-4355811","TB-UV-200g-US","ButiResin UVレジン液 高い透明 急速硬化レジン液大容量200g UV-LED対応 黄変なし ハードタイプ レジンアート uvレジ�","1","amazon.jp","Amazon","遠田郡美里町","宮城県","989-420","","1,482","148","0","0","0","0","0","0","0","0","-98","-318","-16","0","1,198"
"2025/03/01 3:06:09 JST","11972516293","注文","250-4640517-9724616","UV-300g-JP-new","ButiResin レジン液 300g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","大阪府","593-831","","2,255","225","0","0","0","0","-25","-455","-45","0","-215","-318","0","0","1,422"
"2025/03/01 3:38:23 JST","11972516293","注文","250-1688047-8223818","KY-96VH-IIX0","BUTIRESIN UVライト アドバンス 2 in 1 両面長時間設定 (60 秒、180 秒、300 秒) 48 個の LED 48W 360 度サラウンド光源 樹脂�","1","amazon.jp","Amazon","","茨城県","300-127","","6,891","689","0","0","0","0","-76","-1,364","-136","0","-360","-485","0","0","5,159"
"2025/03/01 4:07:25 JST","11972516293","注文","250-7213158-7180628","AB-0721","ButiResin エポキシ樹脂 二液性レジン液 大容量 1 gallon/4.3 kg エポキシレジン 2液性レジン液 ハードタイプ セルフレ","1","amazon.jp","Amazon","","石川県","922-013","","8,181","818","0","0","0","0","-90","0","0","0","-980","-514","0","0","7,415"
"2025/03/01 4:24:37 JST","11972516293","注文外料金","87a21956-f54f-4413-81eb-fcd94cdf9af8","","クーポン償還手数料: ¥500の割引 UVレジン液 500g","1","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-60","0","-60"
"2025/03/01 4:29:05 JST","11972516293","注文","503-2736126-5125446","KY-96VH-IIX0","BUTIRESIN UVライト アドバンス 2 in 1 両面長時間設定 (60 秒、180 秒、300 秒) 48 個の LED 48W 360 度サラウンド光源 樹脂�","1","amazon.jp","Amazon","","青森県","039-116","","6,891","689","0","0","0","0","-76","-1,364","-136","0","-360","-485","0","0","5,159"
"2025/03/01 4:34:16 JST","11972516293","注文外料金","c12e2fd2-e21e-496a-9bb9-50bd4020dbec","","クーポン償還手数料: ¥500の割引 UVレジン 300G","2","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-120","0","-120"
